"Transect","number_of_plots","Park","mstrlvl","mean_plotmstr","number_microplots","mean_percent_cover_seedlings","mean_density_short_seedlings","mean_density_tall_seedlings","mean_density_seedlings","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","total_number_saplings","mean_density_saplings_stems_per_m_squared","total_number_small_trees","total_number_small_trees_green_white_or_pumpkin","total_number_small_trees_black","total_number_small_trees_unknown_species","total_number_living_small_trees","mean_density_small_trees_stems_per_ha","mean_density_living_small_trees_stems_per_ha","mean_basal_area_small_trees_m_squared_per_ha","mean_basal_area_living_small_trees_m_squared_per_ha","total_number_big_trees","total_number_living_big_trees","mean_density_living_big_trees_stems_per_ha","mean_basal_area_living_big_trees_m_squared_per_ha"
"A",3,"Kensington","xeric",1,12,3.41666666666667,0.222551928783383,0.445103857566766,0.667655786350148,9,18,27,12,16,0.0265258145911875,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",3,"Kensington","xeric",1,12,2.875,0.410509031198686,0.246305418719212,0.656814449917898,20,12,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB",3,"Hudson Mills","xeric",1.66666666666667,12,12.5,0.0821018062397373,0.574712643678161,0.656814449917898,4,28,32,12,15,0.0248679511792382,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",3,"Kensington","xeric",1,12,10.2083333333333,1.02627257799672,0.738916256157636,1.76518883415435,50,36,86,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC",3,"Island Lake","mesic",3,12,5.875,0.328407224958949,0.492610837438424,0.821018062397373,16,24,40,12,65,0.107761121776699,16,0,16,0,15,265.258145911875,248.679511792382,0.327564989847072,0.30119781154917,0,0,0,0
"D",3,"Kensington","xeric",1,12,1.04166666666667,0.225779967159278,0.123152709359606,0.348932676518883,11,6,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",3,"Proud Lake","xeric",1.66666666666667,12,13.8888888888889,0.862068965517242,0.61576354679803,1.47783251231527,42,30,72,12,65,0.107761121776699,8,1,5,2,4,132.629072955937,66.3145364779686,0.139374951358392,0.0458593589951659,0,0,0,0
"EE",3,"Highland","xeric",1.66666666666667,12,6.5,0.75944170771757,0.472085385878489,1.23152709359606,37,23,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F",3,"Proud Lake","xeric",1.33333333333333,12,4.16666666666667,0.328407224958949,0.472085385878489,0.800492610837439,16,23,39,12,23,0.038130858474832,4,3,1,0,3,66.3145364779686,49.7359023584765,0.0488281079590778,0.0363150914927648,0,0,0,0
"G",3,"Proud Lake","xeric",1,12,4.08333333333333,0.0821018062397373,0.164203612479475,0.246305418719212,4,8,12,12,4,0.00663145364779686,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",3,"Proud Lake","hydric",5,12,0.291666666666667,0,0.0205254515599343,0.0205254515599343,0,1,1,12,21,0.0348151316509335,81,2,75,4,61,1342.86936367887,1011.29668128902,3.37224179184366,2.51045250927324,3,3,9.82437939395368,0.0947273680943718
"I",3,"Kensington","hydric",4.66666666666667,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J",3,"Kensington","hydric",5,12,0.375,0,0.0410509031198686,0.0410509031198686,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",3,"Pontiac Lake","xeric",2,12,17.7083333333333,3.30545039053174,1.76634605545892,5.07179644599066,142,75,217,12,12,0.0198943609433906,0,0,0,0,0,0,0,0,0,0,0,0,0
"M",3,"Pontiac Lake","mesic",2.33333333333333,12,25.8333333333333,3.32286961648468,1.89077779889199,5.21364741537667,158,87,245,12,97,0.160812750959074,3,0,0,3,3,49.7359023584765,49.7359023584765,0.0429361829320158,0.0429361829320158,0,0,0,0
"N",3,"Pontiac Lake","xeric",2,12,31.375,2.70935960591133,2.0320197044335,4.74137931034483,132,99,231,12,1,0.00165786341194922,0,0,0,0,0,0,0,0,0,0,0,0,0
"O",3,"Pontiac Lake","xeric",1,12,28.0277777777778,3.22249589490969,1.62151067323481,4.8440065681445,157,79,236,12,32,0.0530516291823749,3,2,0,1,2,49.7359023584765,33.1572682389843,0.0271223863676691,0.0176302021804244,0,0,0,0
"R",3,"Indian Springs","mesic",2.33333333333333,12,14.1666666666667,0.656814449917898,1.47783251231527,2.13464696223317,32,72,104,12,32,0.0530516291823749,0,0,0,0,0,0,0,0,0,0,0,0,0
"S",3,"Indian Springs","hydric",3.66666666666667,12,11.25,0.944170771756979,1.04679802955665,1.99096880131363,46,51,97,12,38,0.0629988096540702,51,4,46,1,41,845.5103400941,679.723998899179,2.34693928508906,2.0216268986225,6,4,13.0991725252716,0.1335622453916
"T",3,"Indian Springs","xeric",2.33333333333333,12,3.375,0.513136288998358,0.225779967159278,0.738916256157636,25,11,36,12,1,0.00165786341194922,0,0,0,0,0,0,0,0,0,0,0,0,0
"U",3,"Indian Springs","hydric",4,12,2.41666666666667,0.0821018062397373,0.184729064039409,0.266830870279146,4,9,13,12,25,0.0414465852987304,13,12,1,0,13,215.522243553398,215.522243553398,0.174270772513146,0.174270772513146,0,0,0,0
"V",3,"Indian Springs","mesic",2.33333333333333,12,24.625,2.6888341543514,2.44252873563218,5.13136288998358,131,119,250,12,15,0.0248679511792382,0,0,0,0,0,0,0,0,0,0,0,0,0
"W",3,"Highland","xeric",2,12,0.958333333333333,0.123152709359606,0.102627257799672,0.225779967159278,6,5,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",3,"Highland","mesic",2.33333333333333,12,29.2916666666667,3.55090311986864,1.80623973727422,5.35714285714286,173,88,261,12,0,0,1,0,0,1,0,16.5786341194922,0,0.0159505152666321,0,0,0,0,0
"Y",3,"Highland","xeric",1,12,6.625,0.738916256157636,0.636288998357964,1.3752052545156,36,31,67,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZA",3,"Pontiac Lake","xeric",2,12,18.4583333333333,2.27497527200791,2.324431256182,4.59940652818991,92,94,186,12,88,0.145891980251531,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZB",3,"Pontiac Lake","mesic",2.33333333333333,12,9.08333333333333,1.36003956478734,1.26112759643917,2.62116716122651,55,51,106,12,13,0.0215522243553398,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZC",3,"Pontiac Lake","xeric",1.66666666666667,12,38.1111111111111,2.6888341543514,2.17569786535304,4.86453201970443,131,106,237,12,9,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZF",3,"Indian Springs","mesic",2.33333333333333,12,7.54166666666667,0.821018062397373,0.656814449917898,1.47783251231527,40,32,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZG",3,"Kensington","xeric",1,12,11.25,0.0821018062397373,0.677339901477833,0.75944170771757,4,33,37,12,325,0.538805608883495,7,7,0,0,7,116.050438836445,116.050438836445,0.068216122026029,0.068216122026029,0,0,0,0
