center_tree_number,microplot_NESW,number_new_with_cotyledons,percent_cover_0_0.5_1_3.5_8_15.5_25.5_etc,northeast_number_established_short,southeast_number_established_short,southwest_number_established_short,northwest_number_established_short,northeast_number_established_tall,southeast_number_established_tall,southwest_number_established_tall,northwest_number_established_tall,area_of_microplot_m_squared,ash_seedlings_notes
1,N,0,3.5,1,0,1,0,0,0,1,1,3.37,
1,E,0,3.5,0,1,1,0,1,1,0,0,3.37,
1,S,0,15.5,1,0,1,1,2,0,4,0,3.37,
1,W,0,3.5,0,0,1,0,1,1,2,0,3.37,
2,N,0,3.5,1,0,0,0,0,0,0,1,3.37,
2,E,0,3.5,0,0,0,0,0,0,0,2,3.37,
2,S,0,0,0,0,0,0,0,0,0,0,3.37,
2,W,0,8,0,0,0,0,1,0,0,0,3.37,In NW - there is an approx. 2m tall ash just outside the microplot.
3,N,0,0,0,0,0,0,0,0,0,0,3.37,
3,E,0,0,0,0,0,0,0,0,0,0,3.37,1m north of a fork of fallen elm (2nd fork on left).
3,S,0,0,0,0,0,0,0,0,0,0,3.37,Just .5m east of autum olive.
3,W,0,0,0,0,0,0,0,0,0,0,3.37,
94,N,0,0.5,0,0,0,1,0,0,0,0,3.37,
94,E,0,45.5,3,1,4,1,3,1,9,4,3.37,
94,S,0,25.5,0,1,0,3,3,3,1,3,3.37,
94,W,0,3.5,0,0,1,1,2,2,4,0,3.37,
97,N,0,3.5,0,0,0,0,0,3,0,1,3.37,
97,E,0,8,2,0,0,0,2,0,0,0,3.37,
97,S,0,25.5,0,3,5,0,3,2,6,1,3.37,
97,W,0,35.5,11,3,4,3,7,7,6,4,3.37,
98,N,0,0,0,0,0,0,0,0,0,0,3.37,
98,E,0,8,2,1,3,4,3,2,0,1,3.37,
98,S,0,1,0,1,4,0,0,0,0,0,3.37,
98,W,0,1,0,1,5,0,0,0,0,0,3.37,
99,N,0,0.5,0,0,1,1,0,0,0,0,3.37,
99,E,0,0,0,0,0,0,0,0,0,0,3.37,submergd
99,S,0,25.5,0,0,0,0,0,0,3,0,3.37,submergd
99,W,0,0.5,0,1,0,0,0,0,0,0,3.37,
96,N,0,15.5,0,2,7,5,4,1,2,1,3.37,
96,E,0,8,6,3,2,7,3,3,4,1,3.37,
96,S,0,15.5,0,1,0,0,1,0,0,3,3.37,
96,W,0,15.5,1,0,0,1,1,2,0,3,3.37,
95,N,0,25.5,2,2,10,3,3,0,7,3,3.37,
95,E,0,15.5,4,3,0,7,2,2,0,1,3.37,
95,S,0,35.5,1,2,0,1,1,2,0,3,3.37,
95,W,0,15.5,1,2,2,1,2,0,4,0,3.37,
49,N,0,55.5,9,7,6,7,4,4,4,3,3.37,
49,E,0,45.5,6,3,3,9,2,1,4,5,3.37,
49,S,0,8,1,2,7,4,0,2,0,0,3.37,
49,W,0,8,3,1,5,4,1,1,1,2,3.37,
50,N,0,3.5,2,0,0,1,1,0,0,2,3.37,
50,E,0,35.5,3,1,0,1,1,4,2,2,3.37,
50,S,0,3.5,1,0,2,0,0,1,0,2,3.37,
50,W,0,8,2,3,0,0,0,4,1,0,3.37,
53,N,0,15.5,0,0,2,3,3,1,2,4,3.37,not counting taller than dbh for % cover
53,E,0,25.5,3,0,0,2,3,5,0,2,3.37,not counting taller than dbh for % cover
53,S,0,3.5,2,0,0,0,3,0,0,1,3.37,not counting taller than dbh for % cover
53,W,0,3.5,2,1,1,3,1,0,0,0,3.37,not counting taller than dbh for % cover
39,N,0,0,0,0,0,0,0,0,0,0,4.06,We think there is only buckthorn and spicebush seedlings but no ash seedlings because they are alternate-leaved
39,E,0,0,0,0,0,0,0,0,0,0,4.06,
39,S,0,3.5,0,0,0,0,0,0,1,0,4.06,
39,W,0,0,0,0,0,0,0,0,0,0,4.06,
51,N,0,25.5,8,3,7,7,4,4,2,3,4.06,
51,E,0,15.5,3,3,6,5,0,1,2,0,4.06,
51,S,0,0.5,0,0,1,1,0,0,0,0,4.06,
51,W,0,3.5,1,2,1,1,0,3,2,0,4.06,
52,N,0,55.5,9,9,4,6,8,2,4,4,4.06,
52,E,0,25.5,3,4,0,0,6,1,0,1,4.06,gooseberry-like plant with spiky fruit
52,S,0,25.5,5,5,6,1,0,5,3,0,4.06,uprooted basswood
52,W,0,45.5,0,3,4,4,2,4,2,2,4.06,wingstem in microplot?
54,N,0,35.5,3,4,6,7,3,0,4,3,4.06,lots of prickly ash (Zanthoxylum)
54,E,0,35.5,13,14,7,6,0,0,0,0,4.06,
54,S,0,3.5,3,2,2,1,1,0,0,1,4.06,
54,W,0,35.5,0,3,3,2,2,3,0,1,4.06,not counting taller than dbh for % cover
38,N,0,0,0,0,0,0,0,0,0,0,4.06,not counting taller than dbh for % cover
38,E,0,0,0,0,0,0,0,0,0,0,4.06,ferns - big fern - spicebush
38,S,0,0,0,0,0,0,0,0,0,0,4.06,
38,W,0,0,0,0,0,0,0,0,0,0,4.06,lots of spicebush
37,N,0,0,0,0,0,0,0,0,0,0,4.06,not counting taller than dbh for % cover
37,E,0,0,0,0,0,0,0,0,0,0,4.06,
37,S,0,0,0,0,0,0,0,0,0,0,4.06,jewelweed
37,W,0,0,0,0,0,0,0,0,0,0,4.06,
25,N,0,0,0,0,0,0,0,0,0,0,4.06,
25,E,0,1,0,0,2,0,0,0,0,0,4.06,
25,S,0,3.5,0,0,0,0,0,0,0,1,4.06,black ash
25,W,0,15.5,0,0,0,0,2,1,0,0,4.06,black and white or green
57,N,0,65.5,1,5,3,4,7,2,3,3,4.06,
57,E,0,35.5,0,5,3,2,1,3,1,4,4.06,
57,S,0,65.5,4,9,3,3,3,5,3,8,4.06,
57,W,0,8,1,4,2,2,0,1,1,0,4.06,
56,N,0,15.5,2,2,3,2,1,1,0,0,4.06,
56,E,0,65.5,3,6,0,2,9,4,2,2,4.06,
56,S,0,15.5,1,0,7,2,1,0,0,0,4.06,
56,W,0,55.5,3,2,4,10,2,2,1,6,4.06,
35,N,0,0.5,0,0,0,1,0,0,0,0,4.06,Lots of grasses - some ferns
35,E,0,0.5,0,0,0,0,1,0,0,0,4.06,grasses - Sassafras
35,S,0,0.5,0,0,0,1,0,0,0,0,4.06,spicebush
35,W,0,0,0,0,0,0,0,0,0,0,4.06,spicebush
34,N,0,25.5,0,0,0,0,0,1,0,1,4.06,pine needles
34,E,0,0,0,0,0,0,0,0,0,0,4.06,Equisetum?
34,S,0,15.5,0,0,0,0,1,1,0,1,4.06,
34,W,0,1,1,0,0,0,0,0,0,0,4.06,
